siren,nic,siret,trancheEffectifsEtablissement,etablissementSiege,categorieJuridiqueUniteLegale,denominationUniteLegale,activitePrincipaleUniteLegale,trancheEffectifsUniteLegale,categorieEntreprise,complementAdresseEtablissement,numeroVoieEtablissement,typeVoieEtablissement,libelleVoieEtablissement,codePostalEtablissement,libelleCommuneEtablissement,distributionSpecialeEtablissement,codeCommuneEtablissement,codeCedexEtablissement,libelleCedexEtablissement,enseigne1Etablissement,denominationUsuelleEtablissement,activitePrincipaleEtablissement,caractereEmployeurEtablissement,naf.niv4,naf.niv3,naf.niv2,sectionActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,libelleActivitePrincipaleUniteLegale,tranche_ca_millesime_1,tranche_ca_millesime_2,tranche_ca_millesime_3,CA,nom_zone_d_activite
507969384,00035,50796938400035,01,true,5499,MC CONCEPT,43.21A,01,PME,,3,RUE,DES CIGOGNES,67960,ENTZHEIM,,67124,,,,MC CONCEPT,43.21A,N,43.21,43.2,43,F,Construction,Travaux d'installation électrique dans tous locaux,,,,,aeroparc
509222378,00077,50922237800077,03,false,5599,LAZARD GROUP REAL ESTATE,41.10B,12,ETI,,2,RUE,DES HERONS,67960,ENTZHEIM,,67124,,,,,41.10B,N,41.10,41.1,41,F,Construction,Promotion immobilière de bureaux,,,,,aeroparc
509601282,00072,50960128200072,12,false,5710,ALTITUDE INFRASTRUCTURE CONSTRUCTION,42.22Z,12,ETI,AEROPARC D'ENTZHEIM,15,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,61.10Z,O,42.22,42.2,42,F,Construction,Construction de réseaux électriques et de télécommunications,,,,,aeroparc
509601282,00130,50960128200130,,false,5710,ALTITUDE INFRASTRUCTURE CONSTRUCTION,42.22Z,12,ETI,,19,RUE,ICARE,67960,ENTZHEIM,,67124,,,,ALTITUDE INFRASTRUCTURE CONSTRUCTION,61.10Z,O,42.22,42.2,42,F,Construction,Construction de réseaux électriques et de télécommunications,,,,,aeroparc
509662052,00224,50966205200224,,false,5710,ALTITUDE INFRASTRUCTURE EXPLOITATION,61.10Z,21,ETI,AEROPARC D'ENTZHEIM,15,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,61.10Z,O,61.10,61.1,61,J,Information et communication,Télécommunications filaires,,,,,aeroparc
511458994,00031,51145899400031,01,true,5499,AUTO H 24,45.20A,01,PME,,11,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,45.20A,O,45.20,45.2,45,G,Commerce ; réparation d'automobiles et de motocycles,Entretien et réparation de véhicules automobiles légers,,,,,aeroparc
512229824,00028,51222982400028,,true,5710,ORGADATA FRANCE,62.02A,03,PME,,9,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,62.02A,N,62.02,62.0,62,J,Information et communication,Conseil en systèmes et logiciels informatiques,,,,,aeroparc
512856303,00031,51285630300031,00,true,5499,ALLIANCE INFORMATIQUE MAINTENANCE,62.03Z,00,PME,LOTISSEMENT TERRES DE LA CHAPELLE 3,15,RUE,DU CORDONNIER,67960,ENTZHEIM,,67124,,,,,62.03Z,N,62.03,62.0,62,J,Information et communication,Gestion d'installations informatiques,,,,,aeroparc
513171769,00021,51317176900021,01,true,5499,FLOW TECHNIQUE,46.69B,01,PME,,19,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.69B,O,46.69,46.6,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de fournitures et équipements industriels divers,,,,,aeroparc
514801455,00148,51480145500148,,false,5710,LEASE PROTECT FRANCE,46.52Z,21,PME,LE MILLENIUM,9,RUE,ICARE,67960,ENTZHEIM,,67124,,,,,46.90Z,O,46.52,46.5,46,G,Commerce ; réparation d'automobiles et de motocycles,Commerce de gros (commerce interentreprises) de composants et d'équipements électroniques et de télécommunication,,,,,aeroparc
