siret,siren,denominationUniteLegale,localisation,trancheEffectifsEtablissement,libelleActivitePrincipaleUniteLegale,libelleSectionActivitePrincipaleUniteLegale,CA,latitude,longitude,trancheEffectifsEtablissementNum
67850295600132,678502956,TRILUX FRANCE SAS,Aéroparc,21,"Commerce de gros (commerce interentreprises) de meubles, de tapis et d'appareils d'éclairage",Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.544573,7.656317,75
67980493000122,679804930,OERLIKON BALZERS FRANCE,Plaine de la Bruche,12,Traitement et revêtement des métaux,Industrie manufacturière,E + d 1M,48.539026,7.567294,35
69678042800400,696780428,BODYCOTE,Plaine de la Bruche,11,Traitement et revêtement des métaux,Industrie manufacturière,E + d 1M,48.539026,7.567294,15
70205022000079,702050220,CHEM TREND FRANCE,Aéroparc,11,Commerce de gros (commerce interentreprises) de produits chimiques,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.54349,7.65139,15
70850347900030,708503479,GUILLET,Plaine de la Bruche,21,Fabrication de machines pour l'industrie agro-alimentaire,Industrie manufacturière,E + d 1M,48.545585,7.58657,75
70850371900161,708503719,BCB BUSINESS COIFFURE BEAUTE,Aéroparc,11,Commerce de gros (commerce interentreprises) de parfumerie et de produits de beauté,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.544573,7.656317,15
71205261200157,712052612,FRANCE HANDLING,Aéroport/Hangenbieten,12,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.54601,7.62522,35
71205626600463,712056266,LA DETECTION ELECTRONIQUE FRANCAISE,Aéroparc,11,Fabrication d'équipements de communication,Industrie manufacturière,Inconnu,48.546207,7.653832,15
73203254500053,732032545,SOFRAME,Plaine de la Bruche,12,Construction de véhicules automobiles,Industrie manufacturière,Inconnu,48.545585,7.58657,35
75034817900094,750348179,CONCESSIONS AEROPORTS FRANCE,Village-ENTZHEIM,12,Restauration de type rapide,Hébergement et restauration,E + d 1M,48.531121,7.632609,35
75180118400043,751801184,VOLOTEA SA,Aéroport/Hangenbieten,12,Transports aériens de passagers,Transports et entreposage,Inconnu,48.54601,7.62522,35
75292649300020,752926493,EMOTRANS FRANCE,Aéroparc,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.54349,7.65139,15
76980020200780,769800202,HEPPNER SOCIETE DE TRANSPORTS,Aéroport/Hangenbieten,11,Affrètement et organisation des transports,Transports et entreposage,E + d 1M,48.54601,7.62522,15
77564206900584,775642069,ASS BAS-RHINOISE AIDE PERSONNES AGEES,Village-HOLTZHEIM,12,Hébergement social pour personnes âgées,Santé humaine et action sociale,Inconnu,48.561305,7.634222,35
77605646700850,776056467,UNION DES GROUPEMENTS D'ACHATS PUBLICS,Aéroparc,11,Centrales d'achat non alimentaires,Commerce ; réparation d'automobiles et de motocycles,Inconnu,48.54349,7.65139,15
77876843200016,778768432,CAISSE DU CREDIT MUTUEL HORIZON,Joffre,11,Autres intermédiations monétaires,Activités financières et d'assurance,Inconnu,48.5599,7.646585,15
79084341100188,790843411,DEMATHIEU BARD CONSTRUCTION,Plaine de la Bruche,21,Construction d'autres bâtiments,Construction,E + d 1M,48.541815,7.582775,75
79090499900014,790904999,ERACLEAN,Village-HOLTZHEIM,11,Autres activités de nettoyage des bâtiments et nettoyage industriel,Activités de services administratifs et de soutien,Inconnu,48.560496,7.639973,15
79539792600010,795397926,LE 1774,Village-ENTZHEIM,11,Restauration traditionnelle,Hébergement et restauration,D entre 250K et 1M,48.531404,7.634516,15
79874553500038,798745535,GROUPE SYNERLAB,Aéroparc,11,Activités des sociétés holding,Activités financières et d'assurance,E + d 1M,48.539883,7.654867,15
79939520700027,799395207,EMAILLERIE ALSACIENNE,Plaine de la Bruche,12,Fabrication de structures métalliques et de parties de structures,Industrie manufacturière,Inconnu,48.539126,7.569184,35
79987935800049,799879358,ALSTOM APTIS,Aéroport/Hangenbieten,21,Construction de véhicules automobiles,Industrie manufacturière,C entre 82K et 250K,48.555058,7.620312,75
80022011300024,800220113,MD6 CONSULTING,Aéroparc,12,Conseil pour les affaires et autres conseils de gestion,"Activités spécialisées, scientifiques et techniques",E + d 1M,48.545442,7.655329,35
80025973100027,800259731,DUTTLEDIS,Village-DUTTLENHEIM,12,Supermarchés,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.52587,7.566894,35
80026656100011,800266561,HOLTZDIS,Joffre,12,Supermarchés,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.557802,7.653864,35
80437000500022,804370005,G. & L. DENILAULER,Aéroparc,11,Boulangerie et boulangerie-pâtisserie,Industrie manufacturière,Inconnu,48.539349,7.648691,15
80924039300029,809240393,APPARENCE - JUSTE POUR SOI - ENTZHEIM,Aéroparc,11,Coiffure,Autres activités de services,Inconnu,48.539349,7.648691,15
80930060100014,809300601,DELTA,Aéroparc,12,Fabrication d'instrumentation scientifique et technique,Industrie manufacturière,Inconnu,48.540706,7.648505,35
81083640300024,810836403,VIVIALYS SERVICES,Aéroparc,11,"Activités spécialisées, scientifiques et techniques diverses","Activités spécialisées, scientifiques et techniques",E + d 1M,48.545442,7.655329,15
81193436300268,811934363,NXO FRANCE,Aéroparc,12,"Ingénierie, études techniques","Activités spécialisées, scientifiques et techniques",Inconnu,48.546907,7.652567,35
81749348900014,817493489,SAS INEOSURF,Plaine de la Bruche,11,"Activités spécialisées, scientifiques et techniques diverses","Activités spécialisées, scientifiques et techniques",E + d 1M,48.538889,7.586532,15
81861122000018,818611220,FRESHMILE SERVICES,Aéroport/Hangenbieten,11,Commerce d'électricité,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",A - de 32K,48.54601,7.62522,15
82353859000022,823538590,COTTEX,Plaine de la Bruche,12,Autres activités de poste et de courrier,Transports et entreposage,Inconnu,48.54047,7.56951,35
82363161900025,823631619,ZOREN PROD,Aéroparc,11,Arts du spectacle vivant,"Arts, spectacles et activités récréatives",Inconnu,48.538926,7.649133,15
82515283800017,825152838,NAGARRO ES FRANCE,Aéroparc,12,Conseil en systèmes et logiciels informatiques,Information et communication,E + d 1M,48.546207,7.653832,35
82817635400029,828176354,BACCHUS,Aéroparc,12,Restauration traditionnelle,Hébergement et restauration,A - de 32K,48.539349,7.648691,35
83054538000016,830545380,GRECON SARL,Aéroparc,11,Commerce de gros (commerce interentreprises) de matériel électrique,Commerce ; réparation d'automobiles et de motocycles,E + d 1M,48.539883,7.654867,15
83095977100023,830959771,LOSANGE,Aéroparc,11,Télécommunications filaires,Information et communication,Inconnu,48.547294,7.653259,15
83223540200183,832235402,AUCHAN RETAIL LOGISTIQUE,Plaine de la Bruche,22,Entreposage et stockage non frigorifique,Transports et entreposage,E + d 1M,48.543146,7.571442,150
94555054901384,945550549,EQIOM BETONS,Aéroparc,11,Fabrication de béton prêt à l'emploi,Industrie manufacturière,E + d 1M,48.544646,7.650443,15
